version,id,title,status,category,disposition,current_authority,source_path
Draft4,D4-03-5_2,One-/Two-Call Boundary Reduction,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-5_3,Decision-Boundary Warmness,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-6_1,Frontier Closure Theorem,Historical theorem/corollary,Pareto/Accounting,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-6_2,Reasoning/work floor,Historical theorem/corollary,Pareto/Accounting,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-7_1,Certified Redundant-Gap Closure,Historical theorem/corollary,Pareto/Accounting,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-8_1,Irreducible Decision Floor,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-9_1,Q99 Boundary Condition,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-10_1,Componentwise Reinvestment,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft6,V6-C01,Protected Decision-View Minimality,Proved in finite stated model,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-C02,Harness Decision-Boundary Compression,Conditional theorem,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-C03,Adaptive Decision-Round Lower Bound,Proved in stated model,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-C04,One-/Two-Call Normal Form,Corollary,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-C05,Snap-to-Edit Sufficiency,Conditional theorem,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-C06,Stable-Reference Recovery,Conditional theorem,Recovery/Nondegradation,Current canonical,Draft6,current/papers/
Draft6,V6-C07,Same-Harness Capability Superset,Conditional theorem,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-C08,Guarded Protected Nonregression,Conditional theorem,Recovery/Nondegradation,Current canonical,Draft6,current/papers/
Draft6,V6-C09,Frontier Closure,Proved,Pareto/Accounting,Current canonical,Draft6,current/papers/
Draft6,V6-C10,Certified Redundant-Work Closure,Proved/accounting,Pareto/Accounting,Current canonical,Draft6,current/papers/
Draft6,V6-H01,Harness-Transport Factorization,Conditional theorem,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-H02,Continuation Sufficiency,Conditional theorem,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-H03,Decision-Preserving Private Composition,Conditional theorem,Harness/Decision,Current canonical,Draft6,current/papers/
Draft6,V6-H04,Atomic No-Mutation Failure,Conditional theorem,Effects/Authority,Current canonical,Draft6,current/papers/
Draft6,V6-H05,Verified Capability Compounding,Conditional theorem,Recovery/Nondegradation,Current canonical,Draft6,current/papers/
Draft6,V6-Q01,Exact Retrospective Rewrite Characterization,Proved,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q02,Cache-Compaction Crossover,Proved,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q03,Horizon-Aware Rewrite Break-Even,Proved,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q04,First-Emission Prefix Immunity,Proved,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q05,Causal Cache Soundness,Conditional theorem,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q06,Dependency-Complete Invalidation,Conditional theorem,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q07,Equality-Boundary Early Cutoff,Conditional theorem,Other/Research,Current canonical,Draft6,current/papers/
Draft6,V6-Q08,Weighted Causal Q99,Proved,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q09,Causal Residency Budget,Proved in finite capacity model,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q10,Q99 Eviction Slack,Proved,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q11,Provider-Miss Insulation,Conditional theorem,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-Q12,Provider-Miss Bounded Amplification,Proved/accounting,Cache/Q99,Current canonical,Draft6,current/papers/
Draft6,V6-I01,Concrete Runtime Refinement,Conditional theorem,Effects/Authority,Current canonical,Draft6,current/papers/
